Wavelength (nm),Radiance (W m-2 sr-1 nm-1),Uncertainty (%),Uncertainty (W m-2 sr-1 nm-1),,,,
400,1.189E-01,2.506263627,0.000002979947,,,,
410,1.511E-01,2.233008143,0.000003374075,,,,
420,1.879E-01,2.130514908,0.000004003238,,,,
430,2.261E-01,2.133076277,0.000004822885,,,,
440,2.633E-01,2.030153576,0.000005345394,,,,
450,3.030E-01,2.074267877,0.000006285032,,,,
460,3.440E-01,2.118373376,0.000007287204,,,,
470,3.860E-01,2.00486004,0.000007738760,,,,
480,4.300E-01,2.007532671,0.000008632390,,,,
490,4.770E-01,1.929632446,0.000009204347,,,,
500,5.260E-01,1.622141376,0.000008532464,,,,
510,5.770E-01,1.655043608,0.000009549602,,,,
520,6.280E-01,1.701478918,0.000010685288,,,,
530,6.800E-01,1.685502534,0.000011461417,,,,
540,7.320E-01,1.669112676,0.000012217905,,,,
550,7.850E-01,1.686047852,0.000013235476,,,,
560,8.380E-01,1.64912723,0.000013819686,,,,
570,8.910E-01,1.630385766,0.000014526737,,,,
580,9.440E-01,1.615873867,0.000015253849,,,,
590,9.980E-01,1.657774869,0.000016544593,,,,
600,1.046E+00,1.616633012,0.000016909981,,,,
610,1.098E+00,1.613691745,0.000017718335,,,,
620,1.148E+00,1.633509911,0.000018752694,,,,
630,1.196E+00,1.608761052,0.000019240782,,,,
640,1.243E+00,1.609402273,0.000020004870,,,,
650,1.289E+00,1.550617075,0.000019987454,,,,
660,1.334E+00,1.600320766,0.000021348279,,,,
670,1.376E+00,1.579660607,0.000021736130,,,,
680,1.417E+00,1.589440635,0.000022522374,,,,
690,1.455E+00,1.554301499,0.000022615087,,,,
700,1.491E+00,1.554087892,0.000023171450,,,,
710,1.526E+00,1.544086824,0.000023562765,,,,
720,1.558E+00,1.500035689,0.000023370556,,,,
730,1.591E+00,1.529688742,0.000024337348,,,,
740,1.618E+00,1.523329292,0.000024647468,,,,
750,1.642E+00,1.547888706,0.000025416333,,,,
760,1.660E+00,1.527787266,0.000025361269,,,,
770,1.686E+00,1.588573947,0.000026783357,,,,
780,1.704E+00,1.525722416,0.000025998310,,,,
790,1.720E+00,1.657143005,0.000028502860,,,,
800,1.732E+00,2.861117284,0.000049554551,,,,
810,1.748E+00,2.843550168,0.000049705257,,,,
820,1.762E+00,2.835889737,0.000049968377,,,,
830,1.777E+00,2.795911025,0.000049683339,,,,
840,1.791E+00,2.757173181,0.000049380972,,,,
850,1.804E+00,2.754631284,0.000049693548,,,,
860,1.821E+00,2.75839371,0.000050230349,,,,
870,1.829E+00,2.67559734,0.000048936675,,,,
880,1.842E+00,2.659533365,0.000048988605,,,,
890,1.852E+00,2.789586447,0.000051663141,,,,
900,1.859E+00,2.804170515,0.000052129530,,,,
910,1.865E+00,2.806788674,0.000052346609,,,,
920,1.872E+00,2.773954646,0.000051928431,,,,
930,1.872E+00,2.773516683,0.000051920232,,,,
940,1.874E+00,2.780111083,0.000052099282,,,,
950,1.875E+00,2.802802816,0.000052552553,,,,
960,1.876E+00,2.782523382,0.000052200139,,,,
970,1.878E+00,2.763217235,0.000051893220,,,,
980,1.879E+00,2.759063599,0.000051842805,,,,
990,1.875E+00,2.768654634,0.000051912274,,,,
1000,1.871E+00,2.759375712,0.000051627920,,,,
1010,1.863E+00,2.615202085,0.000048721215,,,,
1020,1.853E+00,2.616657924,0.000048486671,,,,
1030,1.846E+00,2.636219005,0.000048664603,,,,
1040,1.835E+00,2.626209926,0.000048190952,,,,
1050,1.827E+00,2.650502518,0.000048424681,,,,
1060,1.817E+00,2.645635178,0.000048071191,,,,
1070,1.805E+00,2.629955396,0.000047470695,,,,
1080,1.794E+00,2.640760165,0.000047375237,,,,
1090,1.783E+00,2.634623156,0.000046975331,,,,
1100,1.769E+00,2.634097359,0.000046597182,,,,
1110,1.754E+00,2.630215548,0.000046133981,,,,
1120,1.728E+00,2.654349799,0.000045867165,,,,
1130,1.712E+00,2.622192915,0.000044891943,,,,
1140,1.700E+00,2.635057444,0.000044795977,,,,
1150,1.687E+00,2.624514467,0.000044275559,,,,
1160,1.679E+00,2.645738288,0.000044421946,,,,
1170,1.667E+00,2.641963004,0.000044041523,,,,
1180,1.649E+00,2.658485004,0.000043838418,,,,
1190,1.633E+00,2.655281278,0.000043360743,,,,
1200,1.616E+00,2.658680577,0.000042964278,,,,
1210,1.599E+00,2.670624082,0.000042703279,,,,
1220,1.583E+00,2.653560605,0.000042005864,,,,
1230,1.568E+00,2.653572098,0.000041608010,,,,
1240,1.550E+00,2.675060624,0.000041463440,,,,
1250,1.534E+00,2.677607318,0.000041074496,,,,
1260,1.516E+00,2.676158421,0.000040570562,,,,
1270,1.499E+00,2.667531756,0.000039986301,,,,
1280,1.483E+00,2.680134414,0.000039746393,,,,
1290,1.467E+00,2.669869803,0.000039166990,,,,
1300,1.450E+00,2.65783371,0.000038538589,,,,
1310,1.433E+00,2.668360296,0.000038237603,,,,
1320,1.416E+00,2.65952317,0.000037658848,,,,
1330,1.399E+00,2.655461893,0.000037149912,,,,
1340,1.377E+00,2.667203923,0.000036727398,,,,
1350,1.327E+00,2.657077651,0.000035259420,,,,
1360,1.266E+00,2.655782392,0.000033622205,,,,
1370,1.260E+00,2.617051109,0.000032974844,,,,
1380,1.240E+00,2.684824897,0.000033291829,,,,
1390,1.228E+00,2.676015904,0.000032861475,,,,
1400,1.211E+00,2.685876777,0.000032525968,,,,
1410,1.204E+00,2.674558444,0.000032201684,,,,
1420,1.203E+00,2.678777341,0.000032225691,,,,
1430,1.198E+00,2.632297473,0.000031534924,,,,
1440,1.186E+00,2.665911134,0.000031617706,,,,
1450,1.179E+00,2.65335944,0.000031283108,,,,
1460,1.168E+00,2.659870743,0.000031067290,,,,
1470,1.150E+00,2.663693911,0.000030632480,,,,
1480,1.138E+00,2.66653012,0.000030345113,,,,
1490,1.126E+00,2.707046911,0.000030481348,,,,
1500,1.113E+00,2.687077566,0.000029907173,,,,
1510,1.097E+00,2.659360189,0.000029173181,,,,
1520,1.081E+00,2.671079775,0.000028874372,,,,
1530,1.064E+00,2.702800294,0.000028757795,,,,
1540,1.048E+00,2.691712068,0.000028209142,,,,
1550,1.032E+00,2.701993362,0.000027884572,,,,
1560,1.017E+00,2.685351298,0.000027310023,,,,
1570,1.002E+00,2.677689697,0.000026830451,,,,
1580,9.870E-01,2.668084538,0.000026333994,,,,
1590,9.720E-01,2.702617737,0.000026269444,,,,
1600,9.570E-01,2.572902237,0.000024622674,,,,
1610,9.460E-01,2.630331714,0.000024882938,,,,
1620,9.270E-01,2.666652786,0.000024719871,,,,
1630,9.110E-01,2.682731265,0.000024439682,,,,
1640,8.900E-01,2.659974693,0.000023673775,,,,
1650,8.680E-01,2.679316723,0.000023256469,,,,
1660,8.500E-01,2.712288194,0.000023054450,,,,
1670,8.270E-01,2.733335391,0.000022604684,,,,
1680,8.050E-01,2.837354112,0.000022840701,,,,
1690,7.890E-01,2.633952476,0.000020781885,,,,
1700,7.680E-01,2.667410168,0.000020485710,,,,
1710,7.540E-01,2.648700187,0.000019971199,,,,
1720,7.380E-01,2.64069812,0.000019488352,,,,
1730,7.300E-01,2.672632533,0.000019510217,,,,
1740,7.310E-01,2.582512767,0.000018878168,,,,
1750,7.330E-01,2.564491745,0.000018797724,,,,
1760,7.320E-01,2.580361611,0.000018888247,,,,
1770,7.230E-01,2.657163243,0.000019211290,,,,
1780,7.100E-01,2.652982469,0.000018836176,,,,
1790,6.940E-01,2.678452353,0.000018588459,,,,
1800,6.710E-01,2.685041969,0.000018016632,,,,
1810,6.460E-01,2.692666005,0.000017394622,,,,
1820,6.220E-01,2.714186789,0.000016882242,,,,
1830,6.000E-01,2.967853772,0.000017807123,,,,
1840,5.710E-01,2.826231113,0.000016137780,,,,
1850,5.630E-01,2.780228732,0.000015652688,,,,
1860,5.490E-01,2.865384677,0.000015730962,,,,
1870,5.230E-01,3.015626889,0.000015771729,,,,
1880,5.320E-01,2.733480033,0.000014542114,,,,
1890,5.270E-01,2.757304825,0.000014530996,,,,
1900,5.110E-01,2.859635596,0.000014612738,,,,
1910,4.980E-01,2.854727414,0.000014216543,,,,
1920,4.930E-01,2.775303612,0.000013682247,,,,
1930,4.900E-01,2.715840456,0.000013307618,,,,
1940,4.850E-01,2.843499484,0.000013790972,,,,
1950,4.790E-01,2.785323989,0.000013341702,,,,
1960,4.640E-01,2.666957945,0.000012374685,,,,
1970,4.500E-01,2.730480993,0.000012287164,,,,
1980,4.290E-01,2.674471916,0.000011473485,,,,
1990,4.070E-01,2.683390846,0.000010921401,,,,
2000,3.840E-01,3.042131898,0.000011681786,,,,
2010,3.620E-01,3.087610248,0.000011177149,,,,
2020,3.390E-01,3.165562474,0.000010731257,,,,
2030,3.170E-01,3.279661762,0.000010396528,,,,
2040,3.000E-01,3.155590602,0.000009466772,,,,
2050,2.885E-01,3.191542564,0.000009207600,,,,
2060,2.767E-01,3.168550499,0.000008767379,,,,
2070,2.652E-01,3.096980901,0.000008213193,,,,
2080,2.550E-01,3.134100532,0.000007991956,,,,
2090,2.440E-01,3.072408387,0.000007496676,,,,
2100,2.338E-01,3.130165868,0.000007318328,,,,
2110,2.217E-01,3.057313157,0.000006778063,,,,
2120,2.105E-01,3.157671179,0.000006646898,,,,
2130,1.995E-01,3.066675426,0.000006118017,,,,
2140,1.947E-01,3.137997531,0.000006109681,,,,
2150,1.954E-01,3.004227546,0.000005870261,,,,
2160,2.030E-01,3.050217709,0.000006191942,,,,
2170,2.152E-01,3.028437015,0.000006517196,,,,
2180,2.263E-01,3.160085446,0.000007151273,,,,
2190,2.388E-01,3.018123152,0.000007207278,,,,
2200,2.480E-01,3.014477009,0.000007475903,,,,